2022-08-06 21:54:17,051 - INFO - Loading Data...
2022-08-06 21:54:20,038 - INFO - Init nn...
2022-08-06 21:54:22,215 - INFO - Training...
2022-08-06 21:54:22,461 - INFO - [1,     5] loss: 1.458
2022-08-06 21:54:22,516 - INFO - [1,     9] loss: 1.415
2022-08-06 21:54:22,569 - INFO - [1,    13] loss: 1.331
2022-08-06 21:54:22,616 - INFO - [1,    17] loss: 1.251
2022-08-06 21:54:22,663 - INFO - [1,    21] loss: 1.180
2022-08-06 21:54:22,709 - INFO - [1,    25] loss: 1.133
2022-08-06 21:54:22,755 - INFO - [1,    29] loss: 1.086
2022-08-06 21:54:22,803 - INFO - [1,    33] loss: 1.050
2022-08-06 21:54:22,849 - INFO - [1,    37] loss: 1.013
2022-08-06 21:54:22,896 - INFO - [1,    41] loss: 0.981
2022-08-06 21:54:22,944 - INFO - [1,    45] loss: 0.950
2022-08-06 21:54:22,990 - INFO - [1,    49] loss: 0.916
2022-08-06 21:54:23,036 - INFO - [1,    53] loss: 0.880
2022-08-06 21:54:23,084 - INFO - [1,    57] loss: 0.854
2022-08-06 21:54:23,132 - INFO - [1,    61] loss: 0.826
2022-08-06 21:54:23,181 - INFO - [1,    65] loss: 0.797
2022-08-06 21:54:23,230 - INFO - [1,    69] loss: 0.772
2022-08-06 21:54:23,277 - INFO - [1,    73] loss: 0.748
2022-08-06 21:54:23,323 - INFO - [1,    77] loss: 0.723
2022-08-06 21:54:23,370 - INFO - [1,    81] loss: 0.700
2022-08-06 21:54:23,417 - INFO - [1,    85] loss: 0.676
2022-08-06 21:54:23,464 - INFO - [1,    89] loss: 0.658
2022-08-06 21:54:23,511 - INFO - [1,    93] loss: 0.643
2022-08-06 21:54:23,558 - INFO - [1,    97] loss: 0.624
2022-08-06 21:54:23,604 - INFO - [1,   101] loss: 0.607
2022-08-06 21:54:23,652 - INFO - [1,   105] loss: 0.589
2022-08-06 21:54:23,697 - INFO - [1,   109] loss: 0.574
2022-08-06 21:54:23,744 - INFO - [1,   113] loss: 0.559
2022-08-06 21:54:23,791 - INFO - [1,   117] loss: 0.544
2022-08-06 21:54:23,838 - INFO - [1,   121] loss: 0.533
2022-08-06 21:54:23,884 - INFO - [1,   125] loss: 0.522
2022-08-06 21:54:23,931 - INFO - [1,   129] loss: 0.510
2022-08-06 21:54:23,978 - INFO - [1,   133] loss: 0.501
2022-08-06 21:54:24,024 - INFO - [1,   137] loss: 0.490
2022-08-06 21:54:24,071 - INFO - [1,   141] loss: 0.481
2022-08-06 21:54:24,121 - INFO - [1,   145] loss: 0.471
2022-08-06 21:54:24,168 - INFO - [1,   149] loss: 0.462
2022-08-06 21:54:24,217 - INFO - [1,   153] loss: 0.454
2022-08-06 21:54:24,263 - INFO - [1,   157] loss: 0.446
2022-08-06 21:54:24,310 - INFO - [1,   161] loss: 0.438
2022-08-06 21:54:24,356 - INFO - [1,   165] loss: 0.432
