2022-08-07 00:06:51,471 - INFO - Loading Data...
2022-08-07 00:06:55,120 - INFO - Init nn...
2022-08-07 00:06:58,859 - INFO - Training...
2022-08-07 00:07:04,118 - INFO - [1,   369] loss: 0.269
2022-08-07 00:07:04,171 - INFO - [1,   373] loss: 0.267
2022-08-07 00:07:04,221 - INFO - [1,   377] loss: 0.266
2022-08-07 00:07:04,270 - INFO - [1,   381] loss: 0.265
2022-08-07 00:07:04,317 - INFO - [1,   385] loss: 0.263
2022-08-07 00:07:04,364 - INFO - [1,   389] loss: 0.262
2022-08-07 00:07:04,413 - INFO - [1,   393] loss: 0.261
2022-08-07 00:07:04,462 - INFO - [1,   397] loss: 0.260
2022-08-07 00:07:04,510 - INFO - [1,   401] loss: 0.258
2022-08-07 00:07:04,557 - INFO - [1,   405] loss: 0.257
2022-08-07 00:07:04,606 - INFO - [1,   409] loss: 0.256
2022-08-07 00:07:04,653 - INFO - [1,   413] loss: 0.254
2022-08-07 00:07:04,702 - INFO - [1,   417] loss: 0.253
2022-08-07 00:07:04,750 - INFO - [1,   421] loss: 0.252
2022-08-07 00:07:04,798 - INFO - [1,   425] loss: 0.251
2022-08-07 00:07:04,848 - INFO - [1,   429] loss: 0.250
2022-08-07 00:07:04,896 - INFO - [1,   433] loss: 0.249
2022-08-07 00:07:04,944 - INFO - [1,   437] loss: 0.248
2022-08-07 00:07:04,990 - INFO - [1,   441] loss: 0.246
2022-08-07 00:07:05,036 - INFO - [1,   445] loss: 0.245
2022-08-07 00:07:05,085 - INFO - [1,   449] loss: 0.244
2022-08-07 00:07:05,134 - INFO - [1,   453] loss: 0.243
2022-08-07 00:07:05,183 - INFO - [1,   457] loss: 0.242
2022-08-07 00:07:05,231 - INFO - [1,   461] loss: 0.242
2022-08-07 00:07:05,279 - INFO - [1,   465] loss: 0.241
2022-08-07 00:07:05,327 - INFO - [1,   469] loss: 0.241
2022-08-07 00:07:05,373 - INFO - [1,   473] loss: 0.240
2022-08-07 00:07:05,423 - INFO - [1,   477] loss: 0.238
2022-08-07 00:07:05,492 - INFO - [1,   481] loss: 0.237
2022-08-07 00:07:05,556 - INFO - [1,   485] loss: 0.237
2022-08-07 00:07:05,604 - INFO - [1,   489] loss: 0.236
2022-08-07 00:07:05,651 - INFO - [1,   493] loss: 0.235
2022-08-07 00:07:05,701 - INFO - [1,   497] loss: 0.234
